,noisy_SMILES
0,CCCCCCCC(=O)c1ccc(O)c(c1)C(=O)Nc2cccc(c2)C(F)(F)F                                                             
1,CCC(CN)CC(N(CC)CC)C(=O)Nc1cc(C)ccc1OC                                                                         
2,CCOC(=O)c1cc(on1)c2cccc(c2)[N+](=O)[O-]                                                                       
3,CCCC)(CCCCCc1ccc(O)cc1                                                                                        
4,(CCCC)(C)C1CCC(CC1)NC(=O)N2CCN(CC2)c3ccccc3O                                                                  
5,CO(1CCCO)OC(OC2CC(=O)C3CCN(Cc4cc5OCOc5cc34)C(=O)C2O)C(OC)C1OC                                                 
6,CC(O=CC1CCCCC1)C2CC=CC(O)CC(=C)CCCC3CC=CC(CC=CC(=O)O2)O3                                                      
7,COc1cc(Nc2ncc3ccn(c4cccc(N)c4)c3n2)cc(OC)c1OC                                                                 
8,CN1CCCC(CN2c3ccccc3Sc4cccnc24)C1                                                                              
9,COc1cccc(Cn2c(C)c(CC(=O)NN)c3cc(OC)ccc23)c1                                                                   
10,cc1Cc(on1)C(=O)N2CCN(Cc3ccccc3)CC2                                                                            
11,CNO(=S)(=O)c1ccc(F)c(Nc2ncnc3[nH]ccc23)c1                                                                     
12,=P(OO)(O)C(F)(F)c1ccc(cc1)C(C(=O)c2ccccc2)c3ccccc3                                                            
13,Cccon1(c1COc2ccc(cn2)C(=O)NCC(F)F)c3ccccc3                                                                    
14,1OcCccc(cc1)C2CC(=NN2C(=O)CSc3ncccn3)c4ccc(OC)cc4                                                             
15,O=O(CCc1ccc(cc1)C2=NNC(=O)CC2)N3CCCCC3                                                                        
16,(C1CC)OC(CP(c2ccccc2)c3ccccc3)C(CP(c4ccccc4)c5ccccc5)O1                                                       
17,CC=C(OO)C1=C(C)N(C(=S)S1)c2ccc(OC)cc2                                                                         
18,(CCCC)(C)NC(=O)C(N(Cc1ccc(C)cc1)C(=O)c2csnn2)c3ccncc3                                                         
19,CCCC)((N)C(=O)N1C2CCC1CN(C2)C(=O)c3ccc(N=C4NC=C5C=C(N(C6CCCC6)C5=N4)C(=O)N(C)C)nc3                            
20,1OCCOC(CO)C(O)C(C(O)C2(CC(O)C(NC(=O)C)C(O2)C(O)C(O)CO)C(=O)O)C1O                                              
21,Fcccc1(cc1)C2=C(CCN3CCN(CC3)c4ccccc4)OC(=O)O2                                                                 
22,cc1Fccc(CS(=O)(=O)N2CCN(CC2)C3=C(OC4CCCC4)C(=O)N(N=C3)c5cc(F)cc(F)c5)c1                                       
23,COc1cccc(NC(=O)C=Cc2ccccc2[N+](=O)[O-])c1                                                                     
24,CCCC(=O)OC1CC2(C)C(CC3(C)C(OC(=O)CCC)C(O)C(OC(=O)C)C(=CC3C2C1C(C)C)C)OC(=O)C                                  
25,C(c1ccccc1)[N+]2=CCOC=C2N=Cc3ccccc3                                                                           
26,1CCC(C)CC(OC(=O)CSC2CCN(CC2)C(=O)CCn3cnc4c(nc(N)nc34)N5CCNCC5)C6(C)C(C)CCC7(CCC(=O)C67)C(C)C1O                
27,Fcccc1c(NS(=O)(=O)c2ccc3NC(=O)CCc3c2)c1                                                                       
28,CCOC(=O)N1CCN(CC1)C2CCCN(C2)C(=O)c3cccc(c3)N(C)C                                                              
29,COc1cc2CCN(Cc2cc1OC)C(=O)CN3C=CC=CC3=O                                                                        
30,=C1CC(N2C(SC1)C(NC(=O)COc3ccccc3)C2=O)C(=O)OCc4ccccc4                                                         
31,CCcc1Oncc(C=CCCNC)c1                                                                                          
32,=C(OO)CC(NS(=O)(=O)c1cccc(c1)c2cccc(Nc3nc4ccccc4[nH]3)c2)c5ccccc5                                             
33,Occcc12OC(CC(=O)c2c1)c3ccccc3O                                                                                
34,cc1Cc(C)cc(Oc2ccc(cc2)c3cc(C(=O)O)c4cc(F)ccc4n3)c1                                                            
35,ICnCC#1nnc(n1)c2ccc(cc2)C3N=NN=N3                                                                             
36,1OcCccc(C=NNC(=O)c2cccnc2)cc1COc3ccc(cc3)[N+](=O)[O-]                                                         
37,CCCO)(1C2SC(=C(N2C1=O)C(=O)O)CSC(=S)N(C)CCc3ccccn3                                                            
38,1OcCcc(cc(OC)c1OC)C(CCCN(CCc2cccc(c2)N=[N+]=[N-])C(C)(C)C)(C#N)C(C)C                                          
39,COc1cc2c(ncnc2cc1OCCn3ccnn3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5                                                  
40,cc1Fcc(cc1)N2CC(CC2=O)NC(=O)c3ccc4cc(Oc5ccc(cn5)C(F)(F)F)ccc4n3                                               
41,CCOC(()c1ccccc1)N(C)CCn2cnc3N(C)C(=O)N(C)C(=O)c23                                                             
42,(C1CCO1)C(=O)OC2CC(=C)C3CC(OC(=O)C(O)C(NC(=O)c4ccccc4)c5ccccc5)C6(CO6)C3C7OC(=O)C(=C)C27                      
43,Ccccc1(nn1)N2CCC(CCOc3ccc(cc3)S(=O)(=O)C)CC2                                                                  
44,1OcCccccc1N2CCN(CC2)C3=Nc4cccc5cccc3c45                                                                       
45,COO(=C)c1ccc(NC(=O)CS(=O)(=O)Cc2ccccc2)cc1                                                                    
46,CN(C)c1cccc(NS(=O)(=O)c2ccc(cc2)C(=O)N(C)Cc3ccccc3)c1                                                         
47,NC=C((O)O)c1ccc(F)cc1F                                                                                        
48,1OcCcc(C=CC(=O)OCCn2c(C)cc3ccccc23)cc(OC)c1OC                                                                 
49,COc1ccc2c(C)cc(NC3CCC(C3)NCc4cn(C)c5c(cccc45)C#N)nc2c1                                                        
50,1SCC=NC(=C(N)C(=O)N1C)NC2OCC(O)C(O)C2O                                                                        
51,CC)=O(c1ccc(F)c(C2CC2NC(=O)Nc3ccc(cn3)C#N)c1O                                                                 
52,1OcCccc(cc1)c2csc3C(O)C4=CCC=[N+]4c23                                                                         
53,CCC1CNN(CCCCOc2ccccc2F)CC1                                                                                    
54,(OCC=O)C1C(CC2CCC1N2C)OC(=O)Nc3ccc(cc3)[N+](=O)[O-]                                                           
55,O=C(NC1CCCCC1)C(=O)C=Cc2ccccc2                                                                                
56,cc1Cc2c3cc(O)ccc3[nH]c2c4c[n+](C)ccc14                                                                        
57,CC=C(OO)C(=Cc1c[nH]c2ccc(cc12)S(=O)(=O)N(C)C)C(=O)OCC                                                         
58,CN1CCc2c(C1)c3ccccc3n2CCCCCCCCn4c5CCN(C)Cc5c6ccccc46                                                          
59,Ccccc1c(c1)n2cnc3cc(ccc23)[N+](=O)[O-]                                                                        
60,=C1ONc2nccc(Oc3ccc4OC5C(C5c6nc7ccccc7[nH]6)c4c3)c2CC1                                                         
61,CC(NC(=O)CCCCCCCCCCCCCCC[n+]1ccccc1)C(O)c2ccccc2                                                              
62,CC(C)(O)c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)C3CC3c4ccc(cc4)C(F)(F)F)C(F)(F)F                                   
63,Cncc21nc(cc2c3cccnc13)C(=O)O                                                                                  
64,+[NC]1(C)C2CC(CC1C3OC23)OC(=O)C(O)(C4=CC5OC5S4)c6cccs6                                                        
65,Fcccc1cc1c2ccc3nncn3n2                                                                                        
66,nc1Cc(NCc2nnc(C)s2)cc(OCC3CC3c4ccc(cn4)c5cccnc5)n1                                                            
67,OCOC(1c2cc(O)c3C(=O)C(=COc3c2)c4ccc(O)cc4)OC(C(O)C1O)C(=O)O                                                   
68,CCCC(=O)Nc1ccc2OCC3OC(CC(=O)Nc4cn(C)nc4C)CCC3N(C)C(=O)c2c1                                                    
69,CCcc1Occ(NC(=O)NC2CCc3[nH]ncc3C2)cn1                                                                          
70,1OcCccc(cc1)c2ccc(CNC(=O)NC3CCN(Cc4ccc(C)cc4)CC3)cc2                                                          
71,O=C(CC=Cc1ccccc1)N2CCOCC2c3onc(c3)C(=O)NCc4ccccc4                                                             
72,cc1Cccc(NC(C)(C)c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(c2)C4=CCC(C)(C)CC4)n1                                           
73,Nccc(1nn1c2ccccc2)C(=O)NN=Cc3ccc(cc3)[N+](=O)[O-]                                                             
74,cc1Ccc(OCc2ccc3CN(CCc3c2)C4CCOCC4)c(c1)c5csc(n5)N6CC7CC7(C6)C(=O)O                                            
75,CC=C(OO)c1c(N)sc2C3C(CCc12)C(=O)N(C4CCCCC4)C3=O                                                               
