,SMILES
0,CCCCCCCC(=O)c1ccc(O)c(c1)C(=O)Nc2cccc(c2)C(F)(F)F                                                             
1,CCN(CC)CC(N(CC)CC)C(=O)Nc1cc(C)ccc1OC                                                                         
2,CCOC(=O)c1cc(on1)c2cccc(c2)[N+](=O)[O-]                                                                       
3,CC(C)CCCCCCc1ccc(O)cc1                                                                                        
4,CCC(C)(C)C1CCC(CC1)NC(=O)N2CCN(CC2)c3ccccc3O                                                                  
5,COC1C(CO)OC(OC2CC(=O)C3CCN(Cc4cc5OCOc5cc34)C(=O)C2O)C(OC)C1OC                                                 
6,OC(C=CC1CCCCC1)C2CC=CC(O)CC(=C)CCCC3CC=CC(CC=CC(=O)O2)O3                                                      
7,COc1cc(Nc2ncc3ccn(c4cccc(N)c4)c3n2)cc(OC)c1OC                                                                 
8,CN1CCCC(CN2c3ccccc3Sc4cccnc24)C1                                                                              
9,COc1cccc(Cn2c(C)c(CC(=O)NN)c3cc(OC)ccc23)c1                                                                   
10,Cc1cc(on1)C(=O)N2CCN(Cc3ccccc3)CC2                                                                            
11,CNS(=O)(=O)c1ccc(F)c(Nc2ncnc3[nH]ccc23)c1                                                                     
12,OP(=O)(O)C(F)(F)c1ccc(cc1)C(C(=O)c2ccccc2)c3ccccc3                                                            
13,Cc1onc(c1COc2ccc(cn2)C(=O)NCC(F)F)c3ccccc3                                                                    
14,COc1ccc(cc1)C2CC(=NN2C(=O)CSc3ncccn3)c4ccc(OC)cc4                                                             
15,O=C(COc1ccc(cc1)C2=NNC(=O)CC2)N3CCCCC3                                                                        
16,CC1(C)OC(CP(c2ccccc2)c3ccccc3)C(CP(c4ccccc4)c5ccccc5)O1                                                       
17,CCOC(=O)C1=C(C)N(C(=S)S1)c2ccc(OC)cc2                                                                         
18,CCC(C)(C)NC(=O)C(N(Cc1ccc(C)cc1)C(=O)c2csnn2)c3ccncc3                                                         
19,CC(C)C(N)C(=O)N1C2CCC1CN(C2)C(=O)c3ccc(N=C4NC=C5C=C(N(C6CCCC6)C5=N4)C(=O)N(C)C)nc3                            
20,COC1OC(CO)C(O)C(C(O)C2(CC(O)C(NC(=O)C)C(O2)C(O)C(O)CO)C(=O)O)C1O                                              
21,Fc1ccc(cc1)C2=C(CCN3CCN(CC3)c4ccccc4)OC(=O)O2                                                                 
22,Fc1cccc(CS(=O)(=O)N2CCN(CC2)C3=C(OC4CCCC4)C(=O)N(N=C3)c5cc(F)cc(F)c5)c1                                       
23,COc1cccc(NC(=O)C=Cc2ccccc2[N+](=O)[O-])c1                                                                     
24,CCCC(=O)OC1CC2(C)C(CC3(C)C(OC(=O)CCC)C(O)C(OC(=O)C)C(=CC3C2C1C(C)C)C)OC(=O)C                                  
25,C(c1ccccc1)[N+]2=CCOC=C2N=Cc3ccccc3                                                                           
26,CCC1(C)CC(OC(=O)CSC2CCN(CC2)C(=O)CCn3cnc4c(nc(N)nc34)N5CCNCC5)C6(C)C(C)CCC7(CCC(=O)C67)C(C)C1O                
27,Fc1cccc(NS(=O)(=O)c2ccc3NC(=O)CCc3c2)c1                                                                       
28,CCOC(=O)N1CCN(CC1)C2CCCN(C2)C(=O)c3cccc(c3)N(C)C                                                              
29,COc1cc2CCN(Cc2cc1OC)C(=O)CN3C=CC=CC3=O                                                                        
30,CC1=C(N2C(SC1)C(NC(=O)COc3ccccc3)C2=O)C(=O)OCc4ccccc4                                                         
31,CCOc1cncc(C=CCCNC)c1                                                                                          
32,OC(=O)CC(NS(=O)(=O)c1cccc(c1)c2cccc(Nc3nc4ccccc4[nH]3)c2)c5ccccc5                                             
33,Oc1ccc2OC(CC(=O)c2c1)c3ccccc3O                                                                                
34,Cc1cc(C)cc(Oc2ccc(cc2)c3cc(C(=O)O)c4cc(F)ccc4n3)c1                                                            
35,IC#CCn1nnc(n1)c2ccc(cc2)C3N=NN=N3                                                                             
36,COc1ccc(C=NNC(=O)c2cccnc2)cc1COc3ccc(cc3)[N+](=O)[O-]                                                         
37,CC(O)C1C2SC(=C(N2C1=O)C(=O)O)CSC(=S)N(C)CCc3ccccn3                                                            
38,COc1cc(cc(OC)c1OC)C(CCCN(CCc2cccc(c2)N=[N+]=[N-])C(C)(C)C)(C#N)C(C)C                                          
39,COc1cc2c(ncnc2cc1OCCn3ccnn3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5                                                  
40,Fc1ccc(cc1)N2CC(CC2=O)NC(=O)c3ccc4cc(Oc5ccc(cn5)C(F)(F)F)ccc4n3                                               
41,CC(C(O)c1ccccc1)N(C)CCn2cnc3N(C)C(=O)N(C)C(=O)c23                                                             
